title,text
Media panic,"Media panic is emotional criticism against a new medium or media technology such as the Internet, the World Wide Web, computer games or social media. Media panic  has a long history. At the end of the 18th century, print media were the subject of strong criticism in Great Britain for ""the poison continually flowing thro' the channel of vulgar and licentious publications"".

The Danish media scholar Kirsten Drotner defines media panic in the following way:
In some cases, debate of a new medium brings about - indeed changes into - heated, emotional reactions: in that case we have to do with what may be defined as a media panic. It may be considered a specification of the wider concept of moral panic, and it has some basic characteristics: the media is both instigator and purveyor of the discussion; the discussion is highly emotionally charged and morally polarised (the medium is either ""good"" or ""bad"") with the negative pole being the most visible in most cases; the discussion is an adult discussion that primarily focuses on children and young; the proponents often have professional stakes in the subject under discussion as teachers, librarians, cultural critics or academic scholars; the discussion, like a classic narrative, has three phases: a beginning often catapulted by a single case, a peak involving some kind of public or professional intervention, and an end (or fading-out phase) denoting a seeming resolution to the perceived problems in question.

Media panic may be considered a form of moral panic applied to new media.

See also
 Alarmism
 Sensationalism

References 

Crowd psychology
Mass media issues"
Ranitomeya,"Ranitomeya is a genus of dart poison frogs found in Panama and South America south to Peru and Brazil, possibly into Bolivia.

Taxonomy
In 2006 Grant et al. revised the systematics of poison dart frogs and placed many species formerly classified in the genera Dendrobates, Minyobates and Phyllobates in Ranitomeya. In 2011 Brown and colleagues, following other scientists who assumed the existence of two distinct clades in Ranitomeya, erected the genus Andinobates for 12 species of Ranitomeya.

Ranitomeya and Andinobates frogs can be distinguished from those in genera such as Dendrobates in that they are generally smaller, have more than two colors, and seem to glitter if viewed from certain angles. Ranitomeya is widespread in the Amazon basin, whereas Andinobates species are found only in the northern Andes down to Central America.

Description
Adults measure no more than  in snout–vent length and are typically brightly colored, often with bright yellow, red, or green dorsum that can be uniform in color or with stripes or dots. Also the throat has distinctive color, usually yellow, orange or red. Dorsal skin is smooth or weakly granular. The head is narrower than the body. Fingers and toes bear discs, with those on the fingers being large.

Threats
Many Ranitomeya species are threatened by habitat loss and collection for the pet trade.

Species 
There are 16 Ranitomeya species:

Dendrobates rubrocephalus Schulte, 1999 is placed here Incertae Sedis.

References

 
Poison dart frogs
Amphibians of Central America
Amphibians of South America
Species endangered by the pet trade
Amphibian genera"
Sive,"Sive may refer to:

 David Sive (1922–2014), American attorney, environmentalist, and professor of environmental law
 Sive (noun), a Nation, a large body of people united by common descent, history, culture, or language, inhabiting a particular state or territory.
 Sive (company), SiveHost.com, or SiveICT.co.za. A technology company focusing on online systems, mobile Apps, Business Email Services and Website Hosting.
 Sive (name), anglicised spelling of Sadhbh, an Irish female given name
 Sive (play), by John B. Keane
 Sive (musician), stage name of Sadhbh O'Sullivan"
Granström,"Granström is a Swedish last name that translates as Fir Tree (GRAN) by the Stream (STROM).

Granström may refer to:

Brita Granström (born 1969), Swedish artist and illustrator living and working in Great Britain
Holger Granström (1917–1941), professional ice hockey player who played in the SM-liiga
Jonathan Granström (born 1986), Swedish ice hockey player
Konrad Granström (1900–1982), Swedish gymnast who competed in the 1920 Summer Olympics
Otto Granström (1887–1941), Finnish gymnast who competed in the 1908 Summer Olympics"
Literature Translation Institute of Korea,"Literature Translation Institute of Korea (, LTI Korea, formerly known as Korean Literature Translation Fund) was founded in 1996 by the Government of South Korea with the aim of promoting Korean literature and culture overseas in order to contribute to the global culture.

LTI Korea sponsors translation and publication to promote high-quality translation of Korean literature, and is pushing forward with various overseas exchange programs to strengthen the export base for Korean literature and establish a network for Korean and overseas publishers. It also works to foster professional translators to enhance the capacity of translation of Korean literature.

History
1996
Korean Literature Translation Fund founded.

2001
Renamed as Korean Literature Translation Institute, organization expanded. Dr. Park Huan-Dok appointed as the founding president.

2003
Dr. Chin Hyung Joon appointed to succeed Dr. Park as LTI Korea’s second president.

2005
Declaration of a revision in the Culture and Arts Promotion Law. Status changed to a special corporation

2006
Dr. Yoon Jikwan appointed as the third president of LTI Korea.

2009
Dr. Joo Youn Kim appointed as the fourth president of LTI Korea.

2010
Change of the law authorizing LTI Korea (Publishing Industry Promotion Act §20(2)

2012
Dr. Kim, Seong-kon appointed as the fifth and sixth president of LTI Korea.

2016
LTI Korea’s foundation ordinance brought under the Literature Promotion Act, Article 13

2018
Kim Sa-in appointed as the seventh president of LTI Korea.

2021
Kwak Hyo-hwan appointed as the eighth president of LTI Korea.

Programs
LTI Korea supports various programs designed to promote awareness of Korean literature and culture abroad. Each program focuses on a specific goal dedicated to building an understanding of Korean literature and culture overseas.

 Translation grants program

 Every quarter, LTI Korea selects and supports translations of various Korean works of literary fiction, poetry, plays, non-fiction, children’s and YA books, genre fiction, and graphic novels. Each application is judged for the quality of the translation and the original work.
 From 2014, LTI Korea does not support the complete translation of the original work. LTI Korea initially provides a grant for the translation of a sample, and the grant for the remainder of the work will be provided after the translator and the author sign a publication contract with an international publisher.

 Publication grants program

 Publication grants are offered to foreign publishers who have acquired copyrights to works that were translated with the support from LTI Korea. 
 Since 2014, LTI Korea provides both translation and publication grants for foreign publishers who have acquired the rights to publish translated Korean literary works.

Support for international cooperation
In an effort to build a strong network between the translators, writers, and people engaged in the publishing business both inside and outside of Korea, LTI Korea holds and participates in various cultural events. The LTI Korea Forum was held in the US, France, Spain, China, Germany and Japan in 2011 with the most recent forum being held in Berlin, Germany in June 2012. Another significant event hosted by LTI Korea is Seoul International Writers’ Festival which is held once every other year. In the festival held in 2010, 24 prominent writers from all over the world got together and had reading and talking sessions under the theme ""Fantasy and Empathy"". Among the writers that participated were Korean writers Bae Suah, Park Hyoung-su, Jeong Chan, Pyun Hye-young, Kim Min-jeong, Kim Haeng-sook, Choi Seoung-ho, Ra Hee-duk, Kim Nam-joong, and Kim Hye-jin. Korean-American writer Min Jin Lee, who won the New York Times Editor’s Choice award for her debut novel “Free Food for Millionaires,” and Pulitzer Prize winner Junot Diaz were also among the list of participants.

Education program

LTI Korea holds translation academies in English, French, German, Spanish, Chinese, Japanese, and Russian. Designed to be a translator-training program, it currently teaches nearly 100 students, with the aim of expanding the number to 200. Aside from nurturing prospective translators, LTI Korea encourages new and existing translators by awarding them with Korean Literature Translation Awards. 
Another form of effort to promote the exchange of information is LTI Korea’s International Workshop on Translation and Publication of Korean Literature. The 11th International Workshop for Translation and Publication of Korean Literature discussed the globalization of Korean literature in times where Korean culture is receiving more attention than it ever did in the past, due to the popularity of K-pop singers.

Information service

Through the establishment and implementation of the LTI Korea medium and long-term strategy, its information services provide comprehensive information regarding Korean literature and publications and overseas publishing markets. By creating content relevant to the aforementioned in keeping with the new media environment, the information service ensures that LTI Korea's information services are integrated and up-to-date.

LTI Korea library

Opened to the public in 2007, the LTI Korea Library is the first library in Korea which contains collections of Korean books translated into various languages and published overseas. In addition to the translated editions of Korean books, it also collects periodicals on Korean literature, books on translation as well as CD's, DVDs and video tapes on Korean literature.

Periodicals
Korean Literature Now (formerly _list: Books from Korea), also known as KLN is an English literary magazine showcasing Korean literature and writers through interviews, excerpts, features, translators’ notes, and reviews of Korean literature published overseas. KLN has a circulation of about 5,000 including foreign publishers, agencies, Korean Studies programs, university libraries, cultural centers, and exclusive hotels in the Seoul-Gyeonggi-Incheon area.

Korean literature in translation
LTI Korea Library continues to collect and provide bibliographies of Korean books translated and published in more than 40 languages worldwide.

Location
Yeongdong-daero 112-gil 32 (Samseong-dong), Gangnam-gu, Seoul, Republic of Korea

References

External links
 Literature Translation Institute of Korea official website
 Korean Literature Now magazine
 Seoul International Writers' Festival website
 Translation Academy website
 LTI Korea Digital Library

 
Korean language
Korean literature"
Acqua,"Acqua may refer to:

Places
Acqua Fraggia or Acquafraggia, a short and frequently steep torrente (Italian: seasonal stream), in the province of Sondrio in Lombardy, north Italy

People
 Antonio Acqua (November 1910 - 18 October 1976), Italian actor of the 1940s, 1950s and 1960s
 Camillo Acqua (30 August 1863 - 25 March 1936), Italian entomologist
 Robert Acquafresca, Italian footballer
 Stefano Dall'Acqua, Italian footballer
 Simone Dell'Acqua, Italian footballer

Aqueducts

Ancient Rome
 Aqua Alexandrina, span: Pantano Borghese to the Baths of Alexander on the Campus Martius
Aqua Alsietina, built in 2 BC, span: Lake Alsietina, now Lake Martignano, northwest of Rome to the Naumachia of Augustus in Transtiberim (Trastevere)
 Aqua Anio Novus, built in AD 52, span: Anio (Aniene) River, east of Rome to the Caelian Hill
 Aqua Anio Vetus, built in 272 - 269 BC, span: the Anio (Aniene) River near Vicovaro, east of Rome to the Viminal Hill
 Aqua Antoniniana, a branch of Aqua Marcia that pipes to the Baths of Caracalla on the Caelian Hill, then to the Aventine Hill and the Quirinal Hill
 Aqua Appia, completed in 311 B.C., span: the springs 10 miles (16 km) to the east of Rome to the Forum Boarium in Campus Martius
 Aqua Claudia, built in AD 52, span: the springs in Subiaco, east of Rome to Caelian Hill, later piped to the imperial palaces from the mid-first century on the Palatine Hill
 Aqua Julia, built in 33 BC, span: the springs near Subiaco, east of Rome to the Aventine Hill
 Aqua Marcia, built in 144 - 140 BC; span: the springs near Subiaco, east of Rome to the Capitoline Hill (the longest of the 11 aqueducts that supplied the city of ancient Rome)
 Aqua Tepula, completed in 125 BC, span: the springs near Subiaco, east of Rome, then on the same arches as those of the Aqua Marcia to the Aventine Hill
 Aqua Traiana (later rebuilt and named Acqua Paola), built in AD 109, span: the springs to the north of Lake Bracciano, northwest of Rome to Janiculum Hill
 Aqua Virgo, built in 19 BC, span: the springs near Via Collatina, east of Rome to the baths of Agrippa in Campus Martius

Modern Rome
 Acqua Appio-Allesandrino, completed in 1965, span: catchment basins along the volcano Angela at Pantano Borghese, Finocchi, Torre Angela
 Acqua Felice, completed in 1586, origin/terminus: the springs at Pantano Borghese, off Via Casilin to the fountain of Moses on the Quirinal Hill
 Acqua Paola, completed in 1611, span: Lake Bracciano, northwest of Rome to the fountain of Paul V on the Janiculum Hill, later piped to Vatican Hill
 Acqua Peschiera, completed in 1949, span: the springs in Sorgenti, northeast of Rome, branching to two termini, Peschiera Sinistra, approaching Rome from the east, and Peschiera Destra, taking a westward route to its terminus at the fountain of Piazzale degli Eroi, just north of Vatican Hill
 Acqua Pia Antica Marcia, completed in 1870, span: the springs near Subiaco, east of Rome to the fountain of the Naiads on the Viminal Hill; first built as a restoration of the classical Aqua Marcia
 Acqua Vergine, one of several Roman aqueducts that delivers pure drinking water to Rome; its name derives from its predecessor, Acqua Virgo
 Acqua Vergine Antica, completed in 1453, span: the springs in Salone, east of Rome to the fountain of Trevi on the Quirinal Hill
 Acqua Vergine Nuova, completed in 1937; span: the springs in Salone, east of Rome to its terminus the fountains in Piazza del Popolo and the fountains on the western slope of the Pincio, overlooking Piazza del Popolo

Businesses and organizations
Acqua & Sapone, a professional continental cycling team based in Italy that participated in UCI Europe Tour
Acqua Limone, a Swedish clothing brand
Acqua di Parma, an Italian lifestyle company that produces fragrances, candles, bathrobes and leather accessories
Acqua Santa Golf Club Course, a golf course in Rome, Italy

Other uses
Acqua alta, (Italian: ""high water""), the term used in Veneto for the exceptional tide peaks that occur periodically in the northern Adriatic Sea. The most known place where ""acqua alta"" occurs is Venice.
Aqua Tofana, a strong poison

See also
Acqua pazza (disambiguation)
Aquatic (disambiguation)"
Mass arrest,"A mass arrest occurs when police apprehend large numbers of suspects at once. This sometimes occurs at protests. Some mass arrests are also used in an effort to combat gang activity. This is sometimes controversial, and lawsuits sometimes result. In police science, it is deemed to be good practice to plan for the identification of those arrested during mass arrests, since it is unlikely that the officers will remember everyone they arrested.

Historical examples
The Japan Farmers' Union and Japanese labor-farmer groups were hit by mass arrests in the 1920s. On April 16, 1929, several thousand members of the farmers' movement were arrested. Following World War II, mass arrests (over 120,000) of actual and suspected Quislings occurred in Norway. Totalitarian regimes have sometimes conducted mass arrests as a prelude to a purge of perceived political enemies, sometimes through executions.

On March 10, 2010 a mass crackdown was initiated to thwart a planned peaceful 'million march' to be conducted in a South Indian state capital of Hyderabad demanding formation of a new federal unit, more than 100,000 Telangana people were taken in to custody by a police force controlled by the coastal 'andhra' elites.

The 2010 G-20 Toronto summit was witness to the largest mass arrest in Canadian history.

Mass arrests of protesters in the United States
In December 1964, the University of California, Berkeley was disrupted by a mass student sit-in in the administration building and by mass arrests of 700 students.

Beginning on May 3, 1971, three days into the 1971 May Day Protests - a series of large-scale civil disobedience actions in Washington, D.C. - massive arrest sweeps begin. In a few days over 12,000 are arrested - the largest mass arrest in U.S. history.

Former American President Jimmy Carter said in regards to the racial conflicts of the time, ""I would be opposed to mass arrest, and I would be opposed to preventive detention.  But I think that the abuses in the past have in many cases exacerbated the disharmonies that brought about demonstrations, and I think that arrest or large numbers of people without warrants ... is a contrary to our best systems of justice.""

A famous mass arrest occurred on September 27, 2002, in Washington, DC in which several hundred anti-World Bank/International Monetary Fund protestors, journalists and bystanders were systematically arrested by police and charged with failure to obey a police order. A class action lawsuit against the government ensued. Pre-emptive mass arrests have also sometimes been criticized.

Over 1,700 protesters were arrested during the 2004 Republican National Convention in New York City.

On October 1, 2011, more than 700 protesters with the Occupy Wall Street movement were arrested while attempting to march across the bridge on the roadway.

On January 28, 2012, more than 400 people were arrested at Oakland.

During a seven-day span on Capitol Hill, from April 11 through April 18, 2016 police arrested approximately 1,240 people (300 arrests were made on April 18 alone) who were demonstrating for reforms to how Americans vote and campaign in elections.

On November 4, 2020, 646 protesters were arrested on Highway 94 in Minneapolis.

War crime 
Indiscriminate mass arrests were designated a war crime in 1944 by a commission on war crimes created by the London International Assembly. Thar was one of two items added by that Commission to the list of war crimes that had been drawn up by the Commission on the Responsibility of the Authors of the War and on Enforcement of Penalties in 1919.  Specifically, ""indiscriminate mass arrests for the purpose of terrorizing the population"" were designated as war crimes by the commission.

At the Netherlands temporary court martial in 1947, several members of the tokkeitai in the Netherlands East Indies were accused of the war crime of indiscriminate mass arrests. The applicable legislation, used by the court, was the NEI Statute Book Decree #44 of 1946, whose definition of war crimes paralleled the commission's list.  Specifically, item #34 of the enumerated list of war crimes under the NEI legislation was ""indiscriminate mass arrests for the purpose of terrorising the population, whether described as taking hostages or not"". The court understood the definition of such unlawful mass arrests to be as ""arrests of groups of persons firstly on the ground of wild rumours and suppositions, and secondly without definite facts and indications being present with regard to each person which would justify his arrest"". It added commentary on indiscriminate mass arrests that are for the purpose of terrorizing the populace by stating that they ""contained the elements of systematic terrorism for nobody, even the most innocent, was any longer certain of his liberty, and a person once arrested, even if absolutely innocent, could no longer be sure of health and life"".

See also
Arbitrary arrest and detention
January 2021 arrests of Hong Kong pro-democracy activists

References

Criminal justice
Crowd control and riot control techniques
Political repression"
John Fleming (Southampton MP),"John Fleming (1743 – 28 February 1802) was a British Tory politician who sat in the House of Commons between 1774 and 1790.

He was elected at the 1774 general election as a Member of Parliament (MP) for Southampton. At the 1780 general election he was defeated by his fellow-Tory Hans Sloane, who won the seat with 249 votes to Fleming's 237.  Fleming was re-elected unopposed in 1784, and held the seat until the 1790 general election which he did not contest.

References

1743 births
1802 deaths
British MPs 1774–1780
British MPs 1784–1790
Members of the Parliament of Great Britain for English constituencies"
Cornelis Boel,"Cornelis Boel (c. 1576 – c. 1621) was a Flemish draughtsman and engraver. He is sometimes known as Cornelis Bol, or Cornelis Bol I, to distinguish him from later artists of the same name.

Life

Boel was born at Antwerp in around  1576. He worked mostly as an engraver, in the style of the Sadeler family, of which he was probably a pupil.

His plates are executed in a clear, neat style. He engraved a set of oval plates for the Fables of Otto Voenius, published at Antwerp in 1608. His most substantial works are eight large plates of the battles of Charles V and Francis I, executed in collaboration with Jode de Gheyn, the younger, after Antonio Tempesta. He engraved also the plates to Salomon de Caus's La perspective avec la raison des ombres et miroirs (1611)

He probably spent some time  in England, as appears from his frontispiece to the first edition of the translation of the Bible published by royal authority in 1611, later known as the ""King James Version"", or the ""Authorized Version"".  It is signed ""C Boel fecit, in Richmont."", which has been taken as an indication that he engraved it while staying at Richmond Palace.  He also engraved  a portrait of Henry, Prince of Wales, an oval print with an ornamental border. published by Pieter de Jode I in around 1611–12; Another plate, of The Last Judgment, is signed ""Cornelis Boel fecit"", with no indication of the name of the painter.

References

Sources

External links
 

Year of birth unknown
Year of death unknown
Artists from Antwerp
17th-century engravers
Flemish engravers
Year of birth uncertain"
PRIMA1,"Proline-rich membrane anchor 1, also known as PRiMA, is a protein that in humans is encoded by the PRIMA1 gene.

Function 

PRiMA functions to organize acetylcholinesterase (AChE) into tetramers, and to anchor AChE at neural cell membranes. This is accomplished by the proline rich anchor domain (PRAD) of PRIMA1 which anchors the tetramer of AChE into the plasma membrane of neural cells and myocytes. The PRAD interacts with the C-terminal T-peptide of AChE.

PRiMA plays a role in targeting AChE to the cell surface and, in neuroblastoma cells, PRiMA the limiting factor of such targeting. In both mice and humans, PRiMA exists as two alternative splice variants that differ in their cytoplasmic regions.

Clinical significance 

The severity of neurogenerative diseases, such as Alzheimer’s, can be related to the degradation of AChE.

References

Further reading"
Gibaeksan,"Gibaeksan is a mountain of Gyeongsangnam-do, southeastern South Korea. It has an elevation of 1,331 metres.

See also
List of mountains of Korea

References

Mountains of South Korea
Mountains of South Gyeongsang Province
One-thousanders of South Korea"
Mraclin,"Mraclin is a village in Croatia approximately 20 kilometers south of Zagreb, near the city of Velika Gorica.

The name of Mraclin was documented as early as 1249 and 1255, as Mrachlin. The toponym is likely derived from the names of either Martinus or Marcellus, who could have been landowners in the area, or saints with a local church dedicated to them. Mraclin's church of St. Vitus was established between 1642 and 1688.

References

Bibliography

External links

Populated places in Zagreb County
Velika Gorica"
Jackie Beard,"Jackie Beard (born September 10, 1961 in Detroit, Michigan) is an American former amateur boxer, hailing from Jackson, Tennessee.

Amateur career
Beard was an amateur boxing standout in the late 1970s.  He won the National AAU in the bantamweight division three times: 1978, 1979, and 1980. He also won the bantamweight championship in the 1978 National Golden Gloves Tournament.  Beard qualified for the 1980 U.S. Olympic boxing team, but the U.S. boycott of the Moscow summer games prevented him from the international competition. In 2007 Beard received one of 461 Congressional Gold Medals created especially for the spurned athletes.

Pro career
Beard turned professional in 1981 and was undefeated in his first 11 fights before losing a decision to contender Jose Caba.  Following the loss Beard put together another string of wins but then lost a close decision to Johnny De La Rosa.  He worked his way up to a title match against WBA World super featherweight title holder Brian Mitchell in 1989, but lost a technical decision.  They rematched the following year and Mitchell won a unanimous decision.  Following the loss, Beard's career declined and he lost most of his remaining professional fights.  Beard retired in 1995 with a record of 36 Wins, 14 Losses and 22 KO's.  He resides in Jackson, Tennessee.

References

 

1961 births
Living people
People from Jackson, Tennessee
Bantamweight boxers
National Golden Gloves champions
African-American boxers
Winners of the United States Championship for amateur boxers
American male boxers
Boxers at the 1979 Pan American Games
Pan American Games medalists in boxing
Pan American Games gold medalists for the United States
Boxers from Tennessee
Congressional Gold Medal recipients
Medalists at the 1979 Pan American Games
21st-century African-American people
20th-century African-American sportspeople
Boxers from Detroit"
Don Cohan,"Donald Smith Cohan (February 24, 1930 in New York City  – 20 October 2018) is one of the leading yachtsmen in the U.S.  He was the first Jew to compete at the highest levels of world yachting competitions and at the time of his active career, the only Jew to win an Olympic medal in yachting.

He won a bronze medal at the 1972 Munich Olympics. Years later, he twice defeated Hodgkin's disease.  He came back to win a U.S. sailing championship at the age of 72.

Biography
Cohan graduated from Amherst College (cum laude; 1951).  There, he was a member of Beta Theta Pi.

He then attended Harvard Law School. He practiced as an attorney, before going into business in real estate.  He became President of Donesco Company, a real estate development firm.

Sailing

Cohan began sailing in 1967 at age 37.  He was on the U.S. team at the World Championships in 1969, 1970, and 1971. Cohan then won the 1972 Olympic trials, becoming the first Jew to be a member of the U.S. Olympic Team in sailing.

In the 1972 Munich Summer Olympics, he was set to compete when the Munich Massacre resulted in the killing by terrorists of 11 Israeli athletes.  All Jewish athletes were warned to leave, and two Israelis slated to compete in sailing were instructed to return home immediately. They handed Cohan their satin, blue and white triangular flag, emblazoned with ""Sports Federation of Israel. XXth Olympiad Munich 1972,"" and said:  ""You're representing us now. Go win a medal for us.""

Competing at the age of 42, he came from far back on the final day and earned a bronze medal as helmsman in the mixed three-person  Dragon class, named Caprice.  He earned the medal within just five years from when he began sailing, and was the first Jew to win an Olympic medal in sailing.

Cohan wrote:  ""The last act of [expletives deleted] [U.S. Olympic Committee head and International Olympic Committee president] Avery Brundage was to hang an Olympic medal around my neck.""  Brundage had been a Nazi sympathizer.  He was notorious, among other things, for having pressured to have the only two Jews on the U.S. track team at the 1936 Berlin Olympics, sprinters Marty Glickman and Sam Stoller, removed at the very last moment on the morning of their 400-meter relay race, so as not to embarrass Hitler and the Nazis with a Jewish victory. Brundage later publicly praised the Nazi regime at a Madison Square rally.

Cohan has also been U.S. champion, European champion, German champion, and Australian champion.

In 1984, he put his legal skills to good use.  He charged Robbie Haines, one of the competitors in the Olympic yachting Soling trials, with having left too early (or ""barged"") at the start of the race, in Long Beach, California.  Ed Baird, a fellow competitor, said that Cohan ""destroyed Haines in the protest room"", but that ""We're all still pretty close"".  Haines was disqualified for the race.  In the end, however, Haines qualified for the 1984 Olympics, where he won a gold medal.

Hodgkin's disease
Nineteen years after winning his Olympic medal, in 1991, he was diagnosed with Hodgkin's disease of the lymph glands and nodes, and was found to have the most severe type (4B).  He was not expected to survive.

He said to himself, ""Don, you may be very good in your line of business, but you know nothing about this one"", and assembled a team around himself that he could rely on in his fight against the cancer.  Cohan looked for excellent doctors who would allow him to undergo therapy usually considered too grueling for someone his age.  He interviewed doctors, engaged a psychiatrist to help him deal with grief and fear, and told his wife she would be his deputy in the struggle.  He went through aggressive chemotherapy and radiation therapy, suffered through fatigue, nausea, night sweats, swelling, and pain, and made it through the cancer successfully.

Then, though only one percent of patients get Hodgkin's disease a second time—he found himself in that category.  Again, he was not expected to survive.  Again, he underwent aggressive chemotherapy and radiation therapy.  And again, he defeated the cancer.

Sailing, post-Hodgkins

In 2002, at the age of 72, he won the U.S. Soling Championship.  He also finished 5th in the world championship.

Taking a step back to ruminate on sailing competitively at his age, Cohan remarked: ""I'm aware that I'm on the downwind side of the hill, and the reawakened goal of being a competitive sailor has caused me to stir up banked fires and rejuvenate neglected physical abilities.""

He was inducted into the Philadelphia Jewish Sports Hall of Fame in 2005.

In 2010, he was still sailing competitively.

Philanthropy
Cohan has served as President of Jewish Employment and Vocational Service (JEVS) Human Services, as a member of the Directors Leadership Council of the University of Pennsylvania Abramson Cancer Center, and as a member of the Board of Directors of The Philadelphia Orchestra.  In 1986 he made a gift of a dormitory to Amherst College; it was named the Cohan Dormitory in his honor in 1989.

Select works

Books
 Importing practices & procedures: A reference manual (1964; Pennsylvania Bar Association, Committee on Continuing Legal Education)
 Pennsylvania Trusts (1964)

Articles
 ""Pennsylvania Wait-and-See Perpetuity Doctrine – New Kernels from Old Nutshells"", 28 Temple Law Quarterly 321 (Winter 1955)
 ""Manufacturing Federal Diversity Jurisdiction by the Appointment of Representatives: Its Legality and Propriety"", with Mercer Tate,  1 Villanova Law Review 201 (1956)
 ""Legal, Tax, and Accounting Aspects of Fiduciary Appointment of Stock Proceeds:  The Non-Statutory Pennsylvania Rules"", with Stephen Dean, 106 University of Pennsylvania Law Review 2 (December 1957)
 ""Considering Apportionment Consequences of Corporate Action"", 21–22 The Shingle 57 (1958)
 ""Law and Practicalities for Yachtsmen"", 32 Temple Law Quarterly 241 (1958–59)
 ""Pennsylvania Tentative Trusts"", 110 University of Pennsylvania Law Review 972 (1962)
 ""Accounting Considerations of Apportionment by Trustees of Receipts from Stock"", 36 Temple Law Quarterly 121 (Winter 1963)
 ""Legal and Practical Implications of Purchasing a Pleasure Boat – The Role of the Attorney"", 37 Temple Law Quarterly 401 (1963)

See also
 List of select Jews in sailing
 List of Olympic medalists in Dragon class sailing
 List of select cases of Hodgkin's Disease

References

1930 births
2018 deaths
American male sailors (sport)
Sailors at the 1972 Summer Olympics – Dragon
Olympic bronze medalists for the United States in sailing
Jewish American sportspeople
Amherst College alumni
Harvard Law School alumni
Sportspeople from Philadelphia
Medalists at the 1972 Summer Olympics
21st-century American Jews"
Stenodacma,"Stenodacma is a genus of moths in the family Pterophoridae.

Species
Stenodacma cognata Gielis, 2009
Stenodacma pyrrhodes (Meyrick, 1889)
Stenodacma richardi Ustjuzhanin et Kovtunovich, 2010
Stenodacma wahlbergi (Zeller, 1851)
Stenodacma iranella Hans Georg Amsel, 1959

References

Oxyptilini
Moth genera
Taxa named by Hans Georg Amsel"
